CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
अस्‍मिन घिमिरे,Ashmin Ghimire,चितवन,chitwan,2,"(""अस्‍मिन घिमिरे"" OR ""Ashmin Ghimire"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
इन्द्र बहादुर स्याङतान,Indra Bahadur Syangtan,चितवन,chitwan,2,"(""इन्द्र बहादुर स्याङतान"" OR ""Indra Bahadur Syangtan"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
ऋषा गोले,Risha Gole,चितवन,chitwan,2,"(""ऋषा गोले"" OR ""Risha Gole"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कमान सिंह चौधरी,Kaman Singh Chaudhary,चितवन,chitwan,2,"(""कमान सिंह चौधरी"" OR ""Kaman Singh Chaudhary"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कृष्ण प्रसाद चापागाई,Krishna Prasad Chapagai,चितवन,chitwan,2,"(""कृष्ण प्रसाद चापागाई"" OR ""Krishna Prasad Chapagai"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
जगदिश्वर अधिकारी,Jagadishwar Adhikari,चितवन,chitwan,2,"(""जगदिश्वर अधिकारी"" OR ""Jagadishwar Adhikari"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
दिर्शना कुमारी शाही,Dirshana Kumari Shahi,चितवन,chitwan,2,"(""दिर्शना कुमारी शाही"" OR ""Dirshana Kumari Shahi"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
देवी कुमारी मगर,Devi Kumari Magar,चितवन,chitwan,2,"(""देवी कुमारी मगर"" OR ""Devi Kumari Magar"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
देवी शर्मा,Devi Sharma,चितवन,chitwan,2,"(""देवी शर्मा"" OR ""Devi Sharma"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
नि.कुमार पाख्रीन,Ni. Kumar Pakhrin,चितवन,chitwan,2,"(""नि.कुमार पाख्रीन"" OR ""Ni. Kumar Pakhrin"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
